id,business_type,minimum_requirements,people_needed,core_skills,strategies,risks,min_capital,startup_cost,business_setup,experience_level,category,full_start_capital,micro_start_capital,required_resources,optional_resources,start_small_description,location_dependency,philippine_context,catalog_status,market_category
19,Content Creation Agency,Cameras editing setup,2-10 creators,Storytelling editing,Brand deals,Algorithm dependency,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Cameras editing setup,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
20,Courier Franchise,Office bikes staff,5-20 staff,Logistics tracking customer care,Local coverage,Service complaints,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General,150000.0,37500.0,Office bikes staff,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
21,Dairy Farm,Land cattle sheds,3-15 workers,Animal care feed planning,Direct milk sales,Disease risk,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Land cattle sheds,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
22,Day Care Center,Safe space license,3-10 staff,Child care hygiene,Trust building,Legal compliance,75000.0,"₱75,000 - ₱120,000",Physical Store,Experienced,General,75000.0,18750.0,Safe space license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
23,Digital Marketing Agency,Laptops tools,3-20 staff,Ads SEO analytics,Retainers performance,Client churn,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Laptops tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
24,Driving School,Cars license,2-10 instructors,Teaching road safety,High pass rate,Vehicle damage,35000.0,"₱35,000 - ₱60,000",Physical Store,Experienced,General,35000.0,8750.0,Cars license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
25,Drone Services,Drones license,Solo-5 operators,Piloting data analysis,Survey filming,Regulations,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Experienced,General,5000.0,1250.0,Drones license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
26,E-Commerce Store,Website inventory,2-10 staff,Product sourcing ads,Fast delivery,Returns,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Website inventory,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
27,Electrical Contracting,Tools license,3-20 electricians,Wiring safety estimation,Bulk projects,Accidents,75000.0,"₱75,000 - ₱120,000",Physical Store,Experienced,General,75000.0,18750.0,Tools license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
28,Event Management,Vendor network,3-20 staff,Planning negotiation,Corporate events,Cash flow,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Vendor network,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
29,Export Import Business,Capital licenses,2-10 staff,Documentation compliance,Global buyers,Forex risk,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Capital licenses,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
30,Fabrication Unit,Land machinery,5-50 workers,Welding production QA,Bulk orders,Raw material price,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Intermediate,General,150000.0,37500.0,Land machinery,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
31,Fashion Boutique,Shop inventory,2-6 staff,Styling sales,Unique designs,Trends change,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Shop inventory,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
32,Fitness Gym,Space equipment,3-10 trainers,Training sales retention,Membership plans,Injuries,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Space equipment,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
33,Food Truck,Vehicle permits,2-6 staff,Cooking fast service,Busy locations,Weather issues,35000.0,"₱35,000 - ₱60,000",Service / Mobile,Intermediate,General,35000.0,8750.0,Vehicle permits,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,localized,
34,Freelancing,Laptop internet,Solo,Client communication delivery,Repeat clients,Payment delay,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General,5000.0,1250.0,Laptop internet,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,location_independent,
35,Franchise Business,Capital agreement,5-30 staff,Operations SOP,Location choice,High fees,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General,150000.0,37500.0,Capital agreement,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
36,Fruit Juice Center,Small shop tools,2-5 staff,Hygiene fast service,Fresh ingredients,Seasonal sales,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Small shop tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
37,Garment Manufacturing,Factory machines,10-100 workers,Production QC,Bulk buyers,Labour issues,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Experienced,General,150000.0,37500.0,Factory machines,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
38,Grocery Store,Shop stock POS,2-6 staff,Inventory pricing,Local loyalty,Thin margins,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Shop stock POS,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
39,Handicrafts Business,Workshop online store,2-15 artisans,Design sourcing,Export platforms,Low scale,75000.0,"₱75,000 - ₱120,000",Physical Store,Intermediate,General,75000.0,18750.0,Workshop online store,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
40,Hardware Store,Shop inventory,2-5 staff,Product knowledge,Contractor tieups,Capital lock,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Shop inventory,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
41,Home Interior Services,Design tools vendors,2-10 staff,Design execution,Referrals,Delays,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Design tools vendors,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
42,Hostel / PG,Rented building staff,2-6 caretakers,Facility management,Student locations,Vacancy,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Rented building staff,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
43,IT Services Company,Laptops tools,5-50 staff,Tech support delivery,AMC contracts,Client loss,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General,150000.0,37500.0,Laptops tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
44,Jewellery Manufacturing,Workshop gold license,5-30 workers,Design purity control,Brand trust,Price volatility,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Experienced,General,150000.0,37500.0,Workshop gold license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
45,Laundry Services,Machines delivery bikes,3-10 staff,Process hygiene,Subscription plans,Machine breakdown,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Machines delivery bikes,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,localized,
46,Logistics Company,Vehicles software,5-50 staff,Route planning,Corporate contracts,Fuel cost,150000.0,"₱150,000 - ₱250,000+",Online / Home-Based,Beginner,General,150000.0,37500.0,Vehicles software,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
47,Manufacturing Unit,Factory machines,10-200 workers,Production planning,Scale efficiency,Compliance,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Experienced,General,150000.0,37500.0,Factory machines,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
48,Medical Store,License inventory,2-4 staff,Medicine handling,Doctor tieups,Expiry loss,15000.0,"₱15,000 - ₱30,000",Home-Based,Experienced,General,15000.0,3750.0,License inventory,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
49,Mobile Repair Shop,Tools spare stock,1-3 staff,Diagnosis soldering,Fast service,Spare quality,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General,15000.0,3750.0,Tools spare stock,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
50,Online Course Platform,Camera LMS,Solo-10 team,Teaching marketing,Upselling courses,Low completion,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General,5000.0,1250.0,Camera LMS,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,location_independent,
51,Online Reselling,Mobile internet,Solo-2 staff,Product sourcing pricing,Multiple platforms,Returns,5000.0,"₱5,000 - ₱15,000",Service / Mobile,Beginner,General,5000.0,1250.0,Mobile internet,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,localized,
52,Organic Farming,Land inputs,3-15 workers,Soil crop planning,Premium branding,Yield risk,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Land inputs,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
53,Packaged Food Brand,Kitchen license,5-30 staff,Recipe standardization,Retail tieups,Compliance,150000.0,"₱150,000 - ₱250,000+",Physical Store,Experienced,General,150000.0,37500.0,Kitchen license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,localized,
54,Pet Care Services,Space tools,2-8 staff,Animal handling,Memberships,Bites complaints,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Space tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
55,Photography Studio,Cameras editing PC,1-5 staff,Shooting editing,Portfolio marketing,Seasonal demand,15000.0,"₱15,000 - ₱30,000",Online / Home-Based,Beginner,General,15000.0,3750.0,Cameras editing PC,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
56,Printing Press,Machines orders,3-15 staff,Design printing QC,Bulk clients,Machine cost,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Machines orders,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
57,Real Estate Brokerage,Office network,Solo-10 agents,Negotiation marketing,Local builders,Market slowdown,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General,5000.0,1250.0,Office network,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
58,Repair & Service Center,Tools shop space,1-5 technicians,Diagnosis customer trust,AMC contracts,Spare cost,15000.0,"₱15,000 - ₱30,000",Physical Store,Beginner,General,15000.0,3750.0,Tools shop space,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
59,Restaurant,Dining kitchen license,10-40 staff,Food service management,Branding reviews,High costs,150000.0,"₱150,000 - ₱250,000+",Physical Store,Experienced,General,150000.0,37500.0,Dining kitchen license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,localized,
60,Rice Mill,Land machinery,5-20 workers,Processing logistics,Bulk buyers,Power cost,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Intermediate,General,150000.0,37500.0,Land machinery,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
61,SaaS / App Business,Laptop cloud infra,2-20 team,Product dev support,Subscription model,Churn,75000.0,"₱75,000 - ₱120,000",Online / Home-Based,Beginner,General,75000.0,18750.0,Laptop cloud infra,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,location_independent,
62,Security Services,Guards license,20-200 guards,Training deployment,Corporate contracts,Attrition,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Experienced,General,150000.0,37500.0,Guards license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
63,Seed Distribution,Warehouse network,2-10 staff,Agri knowledge,Dealer network,Seasonality,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Warehouse network,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
64,Skill Training Institute,Classrooms trainers,2-15 staff,Curriculum placement,Certifications,Dropouts,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Classrooms trainers,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
65,Small Shop / Retail,Shop stock license,1-3 helpers,Customer handling pricing,Local trust,Low margins,15000.0,"₱15,000 - ₱30,000",Physical Store,Experienced,General,15000.0,3750.0,Shop stock license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
66,Social Media Agency,Laptops tools,2-10 staff,Content analytics,Retainers,Algorithm shifts,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Laptops tools,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
67,Software Company,Laptops servers,5-100 staff,Development QA,Product focus,Competition,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General,150000.0,37500.0,Laptops servers,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
68,Startup,Idea capital cofounders,5-50 team,Leadership innovation,Market validation,Failure risk,150000.0,"₱150,000 - ₱250,000+",Physical Store / Commercial,Beginner,General,150000.0,37500.0,Idea capital cofounders,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
69,Stock Trading Firm,Capital terminals,1-10 analysts,Risk management strategy,Disciplined trading,Market crash,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Capital terminals,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,deprioritized,
70,Storage Warehouse,Land racks,3-15 staff,Inventory safety,Bulk contracts,Vacancy,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Land racks,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
71,Street Food Stall,Cart license,1-3 staff,Cooking speed hygiene,Busy areas,Weather risk,15000.0,"₱15,000 - ₱30,000",Home-Based,Experienced,General,15000.0,3750.0,Cart license,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,localized,
72,Supply Chain Consultancy,Expertise network,1-5 consultants,Process optimization,High value clients,Limited market,15000.0,"₱15,000 - ₱30,000",Home-Based,Beginner,General,15000.0,3750.0,Expertise network,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
73,Telecom Franchise,Office staff,5-15 staff,Customer onboarding,Service quality,Policy changes,75000.0,"₱75,000 - ₱120,000",Physical Store,Beginner,General,75000.0,18750.0,Office staff,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
74,Textile Trading,Warehouse buyers,2-10 staff,Market trends sourcing,Wholesale margins,Inventory risk,35000.0,"₱35,000 - ₱60,000",Physical Store,Beginner,General,35000.0,8750.0,Warehouse buyers,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
75,Trading / Investment,Capital discipline,Solo,Risk control analysis,Compounding strategy,Emotional losses,5000.0,"₱5,000 - ₱15,000",Online / Home-Based,Beginner,General,5000.0,1250.0,Capital discipline,"Enhanced signage, digital accounting app, backup equipment","Begin with micro-equipment and pre-orders, then reinvest net cash flow.",MEDIUM,Viable micro-enterprise across urban and suburban Philippine communities.,active,
