ID,Exam,Subjects,Outcomes
43,Navy AA,Mathematics Physics Chemistry English,Naval Aviation Technician
44,Navy MR,Mathematics Science English General_Knowledge,Indian Navy Sailor MR
45,Navy SSR,Mathematics Physics Chemistry English General_Awareness,Indian Navy Sailor SSR
46,NEET MDS,Dental Subjects Clinical Knowledge,MDS Dental
47,OBC Bank Exams,Quantitative Reasoning English Banking_Awareness,Bank Jobs
48,PGCET,Subject_Specific Engineering Mathematics,PG Admission
49,PSC Group 1,History Polity Economy Geography Science Ethics,State Top Services
50,PSC Group 2,History Polity Economy Aptitude,State Executive Jobs
51,RBI Grade B,Economics Finance Management English,Central Bank Officer
52,RRB ALP,Math Reasoning General_Science Trade_Knowledge,Railway Technician
53,RRB JE,Engineering Mathematics Core Subjects,Railway Junior Engineer
54,RRB NTPC,Math Reasoning General_Awareness English,Railway Clerk Officer
55,SBI Clerk,Quantitative Reasoning English Banking_Awareness,Bank Clerk
56,SBI PO,Quantitative Reasoning English Banking_Awareness,Bank Officer
57,SSC CGL,Quantitative_Aptitude Advanced_Math Reasoning English Statistics General_Studies,Income_Tax Officer Auditor Assistant Section Officer
58,SSC CHSL,Arithmetic Reasoning English General_Awareness,Clerk DEO LDC
59,SSC Exams,Quantitative_Aptitude Arithmetic Algebra Geometry Trigonometry Reasoning Logical Verbal Ability English_Comprehension General_Awareness,Clerk Assistant Inspector Govt Jobs
60,SSC GD,General_Knowledge Reasoning Numerical_Ability Physical_Efficiency,Security Forces
61,SSC JE,Engineering Subjects Mathematics,Railway PSU JE
62,SSC MTS,General_Awareness Reasoning Numerical_Ability,Support Staff
63,State PSC,State_History Polity Economy Geography Current_Affairs Aptitude,MRO DSP Group_1 Group_2 State Services
64,TANCET,Quantitative Reasoning English Data_Analysis,PG Admission
65,TET,Child_Psychology Pedagogy Subject_Content,Teacher Eligibility
66,UGC NET,Teaching_Aptitude Research_Methodology Subject_Knowledge,Professor JRF
67,UPSC,History Ancient Medieval Modern Geography Physical Human Indian_Polity Constitution Governance Economy Macro Micro Environment Ecology Science_Tech Ethics Current_Affairs Essay,IAS IPS IFS IRS Central Services
68,VITEEE,Physics Chemistry Mathematics Aptitude,BTech VIT
69,XAT,Decision_Making Quantitative Ability English GK,XLRI MBA
70,YUVA NET,Teaching Aptitude Subject Knowledge,Teaching
71,ZSI Exam,Zoology Ecology Biology Field_Work,Zoological Survey
72,AAI ATC,Physics Mathematics Reasoning,Air Traffic Control
73,ICMR JRF,Biology Biochemistry Biotechnology,Medical Research
74,ICAI CMA,Cost Accounting Law Taxation Economics,Cost Accountant
75,ICSI CS,Company_Law Tax Corporate_Governance,Company Secretary
