ID,Education,Subjects
190,Renewable Energy,Solar Wind Storage
191,Risk Management,Finance Risk Models
192,Rural Development,Development Studies Economics
193,Social Work,Sociology Welfare Policy
194,Space Science,Astronomy Space_Physics
195,Sports Management,Sports_Business Marketing
196,Taxation Studies,Direct_Indirect Tax Law
197,Telecommunication Engineering,Networks Signals Switching
198,Textile Engineering,Textiles Fibers Processing
199,Transport Management,Logistics Transport Planning
200,Women Studies,Gender Studies Sociology Policy
